                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93691,                 1.0382,                 1.3639,                0.82344,                0.76824,                0.83698,                0.53788,                 1.2947,                  1.068,                 1.4288,             0.00093877,             0.00093877,             0.00093877
                     35,                0.93993,                 1.0251,                 1.3602,                0.80999,                0.75064,                0.82451,                 0.5273,                 1.3025,                 1.1257,                  1.432,             0.00093497,             0.00093497,             0.00093497
                     36,                0.94015,                 1.0348,                 1.3659,                 0.8103,                0.75705,                 0.8281,                0.52358,                 1.3167,                  1.086,                 1.4506,             0.00093107,             0.00093107,             0.00093107
                     37,                0.93302,                 1.0214,                 1.3597,                0.82563,                0.74215,                0.82782,                0.52342,                 1.3361,                 1.0793,                 1.4729,             0.00092706,             0.00092706,             0.00092706
                     38,                0.93359,                 1.0206,                 1.3545,                0.81733,                0.73969,                0.82246,                0.51895,                 1.3217,                 1.0569,                   1.45,             0.00092294,             0.00092294,             0.00092294
                     39,                0.92369,                 1.0026,                 1.3498,                0.80366,                0.75761,                0.82119,                0.52075,                 1.3363,                  1.063,                 1.4583,             0.00091872,             0.00091872,             0.00091872
                     40,                0.92778,                0.99932,                 1.3493,                0.82555,                0.76737,                0.83402,                0.52519,                   1.34,                 1.0766,                 1.4729,              0.0009144,              0.0009144,              0.0009144
                     41,                0.91914,                0.98519,                 1.3449,                0.82534,                 0.7678,                0.84007,                0.54255,                 1.2884,                 1.0464,                 1.4086,             0.00090998,             0.00090998,             0.00090998
                     42,                0.91734,                0.98758,                 1.3393,                 0.8492,                0.74576,                0.83857,                0.53638,                 1.3076,                 1.0318,                 1.4285,             0.00090546,             0.00090546,             0.00090546
                     43,                0.92196,                0.98307,                 1.3406,                0.83459,                0.76769,                0.83965,                0.53862,                 1.2747,                 1.0033,                 1.4014,             0.00090084,             0.00090084,             0.00090084
                     44,                  0.924,                0.97025,                 1.3431,                0.81878,                0.78219,                0.84588,                0.54193,                 1.2876,                0.99293,                 1.3961,             0.00089613,             0.00089613,             0.00089613
                     45,                0.92393,                0.97438,                 1.3398,                0.82158,                 0.7851,                 0.8461,                 0.5371,                 1.2834,                 1.0042,                 1.3963,             0.00089131,             0.00089131,             0.00089131
                     46,                0.92004,                0.99082,                 1.3372,                0.83474,                0.77769,                0.84093,                0.53646,                 1.2836,                 1.0052,                 1.3996,              0.0008864,              0.0008864,              0.0008864
                     47,                0.91502,                0.96788,                 1.3393,                0.81677,                0.79101,                0.84653,                0.54355,                  1.283,                 0.9822,                 1.4126,              0.0008814,              0.0008814,              0.0008814
                     48,                0.90796,                0.96094,                 1.3314,                0.84354,                0.78027,                0.84441,                0.54275,                 1.2897,                0.98673,                 1.4042,              0.0008763,              0.0008763,              0.0008763
                     49,                0.90488,                0.96164,                 1.3267,                0.84678,                0.76741,                0.84064,                0.54212,                  1.287,                 1.0106,                 1.4009,             0.00087112,             0.00087112,             0.00087112
                     50,                0.90586,                0.96012,                 1.3351,                0.85617,                0.76573,                0.84556,                0.54454,                 1.2743,                0.98177,                 1.3961,             0.00086584,             0.00086584,             0.00086584
                     51,                0.90045,                0.93636,                 1.3228,                0.87451,                0.74814,                0.84916,                0.54753,                 1.2805,                 0.9794,                 1.3996,             0.00086047,             0.00086047,             0.00086047
