                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7064,                 1.2391,                  1.552,                0.77123,                0.71169,                0.77554,                0.38256,                 1.6105,                 1.0439,                 1.5855,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.7144,                 1.2263,                 1.5403,                0.78751,                0.71904,                0.79067,                0.39473,                  1.607,                  1.046,                 1.5769,               0.008317,               0.008317,               0.008317
                     37,                 1.7006,                 1.2002,                 1.5295,                0.77238,                0.74802,                0.78954,                0.39621,                 1.5965,                 1.0117,                 1.5678,              0.0082675,              0.0082675,              0.0082675
                     38,                  1.692,                 1.2022,                 1.5313,                0.78789,                0.74558,                0.81075,                0.40967,                 1.5866,                0.97003,                 1.5656,               0.008218,               0.008218,               0.008218
                     39,                 1.7011,                 1.2056,                 1.5321,                0.78766,                0.74131,                0.80277,                0.40845,                   1.59,                0.98197,                 1.5558,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.6998,                 1.2254,                 1.5348,                0.79233,                0.73734,                0.80068,                0.40701,                 1.5922,                 1.0234,                 1.5534,               0.008119,               0.008119,               0.008119
                     41,                 1.6963,                 1.2027,                 1.5363,                0.79453,                0.70836,                0.79013,                0.39742,                 1.6057,                0.99711,                 1.5737,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.6824,                  1.188,                 1.5176,                0.79225,                0.73398,                0.80219,                0.41276,                 1.5649,                 1.0034,                 1.5454,                0.00802,                0.00802,                0.00802
                     43,                 1.6705,                 1.1848,                 1.5097,                0.76623,                0.73429,                0.78371,                0.40055,                 1.5876,                 1.0116,                 1.5653,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.6752,                 1.1786,                 1.5066,                0.78974,                0.74135,                0.79577,                 0.4091,                 1.5602,                0.99379,                 1.5362,               0.007921,               0.007921,               0.007921
                     45,                 1.6708,                 1.1768,                 1.5067,                0.79585,                 0.7623,                0.81803,                0.41743,                 1.5687,                0.96806,                 1.5374,              0.0078715,              0.0078715,              0.0078715
                     46,                  1.672,                 1.1628,                 1.5119,                0.77277,                0.75217,                0.80709,                0.41364,                 1.5649,                 1.0023,                 1.5501,               0.007822,               0.007822,               0.007822
                     47,                 1.6707,                 1.1707,                 1.5149,                0.76287,                0.73899,                0.79766,                0.41248,                 1.5397,                0.97531,                 1.5198,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.6664,                 1.1682,                  1.501,                0.79213,                0.74497,                0.80915,                0.42208,                 1.5598,                 0.9464,                 1.5268,               0.007723,               0.007723,               0.007723
                     49,                 1.6572,                 1.1685,                 1.5016,                0.77523,                0.74253,                0.80213,                0.41386,                 1.5498,                0.97893,                 1.5315,              0.0076735,              0.0076735,              0.0076735
                     50,                  1.672,                 1.1696,                 1.4965,                0.79508,                0.74344,                0.80765,                0.42137,                 1.5419,                0.97354,                 1.5234,               0.007624,               0.007624,               0.007624
                     51,                  1.644,                 1.1561,                 1.4954,                0.79329,                0.74466,                0.81255,                0.41809,                 1.5629,                0.97314,                  1.537,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.6561,                 1.1437,                 1.4914,                 0.7925,                0.75107,                 0.8148,                0.42484,                 1.5638,                0.96888,                 1.5377,               0.007525,               0.007525,               0.007525
                     53,                 1.6345,                 1.1512,                 1.4898,                0.77649,                0.75747,                0.81899,                0.42333,                 1.5492,                0.94456,                 1.5243,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.6352,                 1.1385,                  1.489,                0.79436,                0.75473,                0.81374,                0.42469,                  1.532,                 0.9388,                 1.5278,               0.007426,               0.007426,               0.007426
                     55,                  1.645,                 1.1515,                 1.4993,                0.78879,                0.74283,                0.81274,                0.42285,                 1.5347,                0.94406,                  1.531,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.6386,                 1.1409,                 1.4899,                0.79426,                0.74344,                0.81555,                0.42985,                 1.5408,                0.92966,                 1.5353,               0.007327,               0.007327,               0.007327
                     57,                 1.6397,                 1.1242,                 1.4869,                0.79398,                0.74619,                 0.8134,                0.42548,                 1.5461,                0.93399,                 1.5203,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.6197,                  1.117,                 1.4829,                0.79533,                0.75396,                0.82265,                0.42929,                  1.536,                0.93473,                 1.5167,               0.007228,               0.007228,               0.007228
                     59,                 1.6257,                  1.113,                  1.469,                0.79576,                0.76903,                0.81996,                0.43257,                 1.5193,                0.94299,                 1.5004,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.6244,                  1.118,                 1.4824,                0.79806,                0.75229,                0.81775,                0.43291,                 1.5224,                0.92634,                 1.5067,               0.007129,               0.007129,               0.007129
